Timestamp,City ,Hospital Name/ Campus (Optional),Years of Experience,"Specialty (Cardiac, ER, GI, L&D, etc)",Hourly Base Pay (Diff not included),Shift Diff Amount (if any) ,"Type Of Shift Diff (nights, Baylor, Critical Care, Etc) "
2/2/2021 14:52:51,,,,,,,
2/7/2021 15:40:59,,,,,,,
2/23/2021 10:09:30,Lakewood,St. Anthony's,2,ER,30.9,5.5,Nights
3/14/2021 23:00:57,Colorado Springs,,0,L&D,29,,
4/22/2021 23:17:20,"Lone Tree, CO",,0,Med Surg,28.5,4,Night
6/6/2021 11:20:30,Englewood,,35,Operating room,43,,"8-10 hrs day, surgery center"
6/6/2021 11:58:49,Aurora ,,7.5,Ped’s OR,42,,Days 
6/6/2021 12:00:27,Denver,,7.5,ICU,37,,
7/9/2021 23:48:09,Lone Tree,,9,PACU charge nurse,40.54,,
8/10/2021 21:55:05,Colorado Springs ,UCHealth Memorial Central,2,Med Surg,31.17,,
8/11/2021 1:07:45,Denver,,0,Mental Health,33.65,,"(Salaried (70k), M-F, 8-5)"
9/4/2021 10:54:54,Denver,Regis University,18,"Advanced research, EBP, Foundations, Leadership",38,,Flexible with classes taught
9/24/2021 18:14:47,Denver,St Joseph Hospital,1,ICU,30.7,4.75,Nights
10/23/2021 17:32:19,Aurora,,1,Infusion Clinic,33.43,,Days
10/26/2021 13:03:49,Denver,,1,General Surgical,31.5,5.75,Nights
11/8/2021 14:04:31,Aurora,University of Colorado Hospital,8.5,Med Surg,44.7,2.5,Night/weekend
12/4/2021 19:21:19,Castle Rock,Castle Rock Adventist Hospital,1,Med Surg,31,5.75,Nights
12/9/2021 20:53:00,Aurora,UCH ANschutz,4,Med Surg,38.76,,Day
12/15/2021 22:02:37,Aurora ,Medical Center of Aurora,0,PCU,29.5,5.5,Night
12/17/2021 1:10:37,Boulder ,Boulder Community ,0,Med-Surg,29.09,8,Night 
1/3/2022 22:41:32,Denver,,10,OR,44.9,,"Day ($2.00 diff clinical ladder, $2.69 critical staffing incentive)"
1/20/2022 18:20:55,Aurora,UCHealth ,12,L&D,41.02,,
2/22/2022 17:10:17,Denver,Denver health ,0.5,Mes surg,28,,
2/22/2022 17:10:27,Denver,Denver health ,0.5,Mes surg,28,,
2/22/2022 17:11:57,Denver,Denver health ,0.5,Med surg,28,,Days
3/5/2022 20:43:24,Boulder,RMCC,6,Outpatient Oncology Infusion,37,,"Days, 40hrs"
3/14/2022 1:39:10,Aurora,UChealth,9,ER,47.47,5,Nights/charge
3/18/2022 13:11:46,,,,,,,
3/18/2022 13:28:15,Wray,,14,Hospice,34,,
3/18/2022 13:29:56,Grand Junction,St. Marys,1,OB,30.28,4,Nights
3/18/2022 13:46:17,Lone Tree,,5,PACU,41,,
3/18/2022 13:51:59,Vail,,3,Icu,37,,
3/18/2022 14:05:04,Lafayette ,,7,Hospice ,36.7,,8 hour (day shift)
3/18/2022 14:42:55,Denver,,0,Neuro ICU,29,,
3/18/2022 14:43:46,Rifle,,3,Er,35,4,
3/18/2022 15:02:56,Louisville ,Boulder Medical Center,10,Pediatrics ,29,,Days
3/18/2022 15:06:48,Louisville ,Boulder Medical Center,10,Peds,30.6,,Days
3/18/2022 15:08:31,Denver,Rose ,1,ICU,31.1,,
3/18/2022 15:16:33,Kremmling,School district nurse,8,,37,,48k/year salary 
3/18/2022 15:27:24,Loveland,,10,Trauma ,47.88,2,Days
3/18/2022 15:30:05,Denver,St Joseph Hospital ,9,PACU,38,,
3/18/2022 15:36:21,Aspen,Sameday Health ,1.5,Clinic (Holistic Wellness),50,,"Days, 10-12 hrs "
3/18/2022 16:06:57,Denver,,4,Gi,37,,
3/18/2022 16:26:35,Ft Collins,UC Medical Center of the Rockies,11,Trauma/Surgical,40.16,,
3/18/2022 17:00:47,Aspen,,8,ICU,45.87,6,Nights
3/18/2022 17:36:40,Denver,,4.5,OR,43.5,,Day shift
3/18/2022 17:52:38,Fort Collins ,Poudre Valley Hospital ,10.5,PACU,40,,
3/18/2022 18:09:02,Brighton ,Platte valley ,3,ER,35,,4-nights 
3/18/2022 18:30:28,Colorado Springs ,,3,Cardiac,29,4,PRN
3/18/2022 18:41:09,Denver,Centura Health,4,Psych,35.28,3.75,Nights
3/18/2022 19:25:13,Denver,Rocky Mountain hospital for children at Presbyterian st lukes,14,NICU,42,4.5,Night
3/18/2022 21:30:29,Westminster ,,7,Medical surgical ,43,5,Nights
3/18/2022 21:53:55,Grand Junction,,1,Cardiac,30,,
3/18/2022 21:58:15,Denver,Denver Health,3,Psych ,38.5,,Charge position. They offered me $35 i negotiated for 38.50.
3/18/2022 22:31:53,Grand Junction,,,,30.95,,
3/19/2022 5:48:15,,,,,,,
3/19/2022 7:19:19,"Littleton, CO",,0.5,Oncology,32.15,,Day
3/19/2022 7:49:49,Leadville,,5,Ic,45,,
3/19/2022 10:36:38,Denver ,University of Colorado Hospital ,10,Care Manager ,47.5,,Remote 
3/19/2022 10:37:12,Denver ,University of Colorado Hospital ,10,Care Manager ,47.5,,Remote 
3/19/2022 11:04:50,,,9,ER,33,2,"Charge RN, CEN"
3/19/2022 12:04:19,Aurora,UC Health Anschutz ,1,Neuro ICU,35.77,5,Nights
3/19/2022 19:32:26,Westminster ,,3,Medsurg ,31.35,,
3/19/2022 21:44:45,Aurora ,,3,Dialysis ,37.88,,
3/19/2022 23:47:17,Littleton,Littleton Adventist Hospital,6,L&D,39.96,,
3/20/2022 6:37:43,Denver,DH,5,ICU,35.1,11.76,"Nights, critical care, weekend"
3/20/2022 18:04:14,Denver,,9,Cardiac,52,,
3/20/2022 18:04:39,,,,,,,
3/20/2022 18:05:30,Denver,,9,Cardiac,42,,
3/20/2022 18:05:42,Denver,,9,Cardiac,42,,
3/23/2022 22:51:34,Denver,,3,,37.25,,
3/23/2022 22:53:38,Denver,,3,,37.25,,
3/24/2022 0:08:31,Aurora,,6,Pediatric Oncology/Hematology/BMT,40,,"Days, clinical nurse III, certified"
3/26/2022 20:13:43,Windsor ,,7,OR,43,,
3/26/2022 20:24:53,Denver,,3,Med Surg,35.65,,
3/26/2022 20:36:41,Thornton,,1,ICU,29.5,,
3/26/2022 22:35:34,Aurora ,,3,Dialysis ,37.8,,Daya
3/26/2022 22:41:51,Denver,,4,Geriatric Clinic,46,,N/A this is a clinic - no nights and no weekends
3/26/2022 23:07:43,Denver,SCL Health,15,ER float pool,44,20,"Float, PRN, weekends "
3/26/2022 23:23:51,Colorado Springs,,0.2,Hospice,38,,
3/27/2022 3:02:50,Denver,Denver Health ,4,PCU,35,,
3/27/2022 5:39:32,Denver,Denver Health,9,Neonatal ICU,40.03,,
3/27/2022 10:49:26,Denver,Rocky Mountain Hospital for Children,4,Peds ICU/CVICU,33,5,Nights
3/27/2022 11:13:23,,,0,Aesthetics,33,,
3/27/2022 11:29:00,Denver,Presbyterian St. Lukes ,13,OR,43.25,,Days
3/27/2022 12:16:32,Denver,Porter,3,Gen Surg,34.37,4.73,PRN Days
3/27/2022 20:07:49,Aurora,,8,Heme/BMT,46.09,,Weekdays
3/28/2022 10:01:13,Lone tree,Sky Ridge Medical Center,9.5,PCU,36.6,8.5,Weekend contract
3/29/2022 18:26:29,Denver,,2,Rehab,31.5,,
3/29/2022 22:54:18,Denver,PSL,15,Oncology,46,,
3/30/2022 5:52:18,"Aurora, Colorado",Children's Hospital Colorado,2.5,Hematology/oncologyBMT,34.29,4.75,Nights
3/31/2022 17:41:56,Colorado Springs ,Encompass Rehab,5,Rehab,55,,Days
4/8/2022 21:40:45,Grand Junction,St Marys,3,Cardiac (step down),32,,Day
4/8/2022 21:44:01,Denver,,4,Peds,35.23,,
4/8/2022 23:13:04,Grand Junction,Mess County Public Health,8,,30.5,,
4/8/2022 23:27:25,Lafayette ,,9,Peds,30.6,,Outpatient clinic
4/9/2022 11:02:50,Denver,Centura ,4,GI,37,,
4/9/2022 11:57:50,,Uchealth ,0,OR,29,,
4/9/2022 15:30:46,Denver,,8,ER,36,,
4/9/2022 17:37:10,Denver,,1,Pediatrics ,31,5.5,Nights 
4/9/2022 19:11:15,Denver ,The Center for Cosmetic Surgery ,7,Pre-op/PACU/OR/Scrub,44.8,,
4/9/2022 23:05:35,Arvada,University of Colorado hospital ,3,L&D,35.8,2.5,Day
4/9/2022 23:40:57,Colorado Springs,,0,L&D,31.49,5.75,nights
4/10/2022 17:52:04,Denver,,0.5,Operating Room,40,3,PRN
4/10/2022 17:54:05,Denver,Parker Adventist,1,Ortho/Neuro,31,4.35,PRN
4/10/2022 23:10:08,Denver,,13,Acute dialysis ,47,6,"Charge nurse, evenings, weekends"
4/14/2022 0:43:03,Thornton,North suburban,20,ER ,40,,Day
4/14/2022 2:43:04,Arvada,,7,Rehabilitation ,36,2,Nights
4/16/2022 17:35:55,Wheat Ridge,SCL,0,Step down,32.9,4.5,Nights 
4/19/2022 18:03:30,Aurora,ROcky mountain region VAMC,10,Med surg,44,,Night
4/21/2022 0:24:36,Aspen ,Aspen valley hospital ,6,ER,39,3,Weekends 
4/21/2022 0:25:35,Long branch ,Monmouth Medical Center,6,ER,40,3,Evenings 
4/26/2022 1:12:28,Aurora ,University of Colorado Hospital,2,ICU,37,5,Nights
5/6/2022 9:47:31,Denver,VA Medical Center,0,ICU,40,4,"4-nights, 10-wknd days, 14 wknd nights"
5/6/2022 15:21:42,Colorado Springs,Children’s Hospital Colorado,1,NICU,36.2,5,Night
5/25/2022 3:06:03,Fort Collins ,,9,L &D,35.13,4,Nights 
6/8/2022 11:46:43,Denver,Centura,4,GI,37,,
6/13/2022 1:29:04,Denver,,4.5,Oncology,40,5.5,Nights
6/13/2022 19:30:40,Denver,Denver Health,4,PACU,35.27,,"$4.65 night, $2.45 evenings, $2.20 weekends, 14% for critical care, extra shifts 1.5x +$20/hour (for when there are a lot of open shifts)"
6/16/2022 19:21:41,Colorado ,,12,L&D,41.02,,
6/20/2022 16:08:08,Boulder,,5,Psych,45,,none
6/23/2022 10:00:43,Denver,St Joseph Hospital,5,Med/surg surgical,36.8,,
6/24/2022 12:55:21,Denver,Lutheran Medical Center,0,Telemetry ,32.03,2.25,Weekend 
7/5/2022 17:07:07,Greeley,UCHealth,0,Med surg,29,5,Nights 
7/17/2022 12:11:44,Denver,,0,L&D,30,5.5,Nights
8/10/2022 19:32:08,Colorado Springs ,Memorial Hospital Central,1,ER,18.5,,Day
8/10/2022 19:32:22,Colorado Springs ,Memorial Hospital Central,1,ER,18.5,,Day
8/21/2022 17:17:23,Steamboat Springs ,Private clinic,1.5,FNP,35,,Plus 35% of what I bill
8/26/2022 14:52:51,Denver,,4.5,BMT,43.53,5.5,Nights
9/11/2022 5:32:36,Denver,,4,Float,34.25,,night
9/20/2022 2:57:32,Denver,UCH,3,BMT,35.8,2.5,Night 
10/4/2022 9:21:10,Alamosa ,SLVH ,2,ER,31.5,,
10/4/2022 19:31:09,Colorado Springs,,25,Home health private duty ,31,,
10/21/2022 17:12:51,Denver,,2,Neuro,34,5,Nights
10/26/2022 10:41:47,Denver,,3,Cardiac,34,,
10/26/2022 10:43:18,Denver,,3,Cardiac,34,,
11/15/2022 12:20:57,Eagle,,1,Corrections,24,,
11/17/2022 22:58:13,Durango ,,,,,,
11/19/2022 14:30:20,Colorado Springs,Saint Francis,12,PACU/ICU,44.51,7.93,"CCRN, PRN"
12/1/2022 21:49:57,Denver,Remote,6,Pediatrics,40,,
12/1/2022 21:50:12,Denver ,,38,Geriatrics ,43,,Days
12/1/2022 22:31:36,Littleton ,,3,Med Surg,36,,Days
12/1/2022 22:58:40,"Louisville, CO",TRU Hospice,6,Hospice,43.5,,
12/1/2022 23:03:15,Colorado Springs,,9,Med/Surg ,48.81,2,
12/1/2022 23:09:20,Parker,Sky Ridge South Parker ER,1,ER,36,,
12/1/2022 23:22:02,Denver,,13,OR,45.8,4.65,Nights
12/2/2022 0:42:54,San Diego,,4,OR,60,,Day
12/2/2022 14:05:43,Denve,,5,Cardiac Cath Lab,41.65,,Days and Call
12/2/2022 21:19:21,Fort Collins ,Lemay Avenue Health and Rehab,3.5,Geriatrics/Rehab,40,4,NOC 
12/2/2022 22:31:03,Aurora,,1.5,Addiction Treatment,35.11,2.5,Days/Mids
12/3/2022 16:14:45,Denver,,1,Psych,36.8,4.5,Nights
12/4/2022 15:40:02,,,13,Med surg ,40,5,Nights 
12/19/2022 19:12:57,Denver ,,4,Internal travel team,85,,Nights
12/19/2022 19:29:03,,,,,,,
12/19/2022 19:50:19,Colorado Springs ,,0,PICU,30,5,Nights 
12/19/2022 20:11:45,Louisville,,8,NICU,42,,Days
12/19/2022 20:31:55,Greeley,NCMC,1,Pcu,32,,
12/19/2022 20:56:40,Parker,,1.5,OR,32.5,,
12/19/2022 21:01:32,Denver,Uchealth ,0,ER,31,,
