Timestamp,City ,Hospital Name/Campus,Years of Experience,"Specialty (Cardiac, ER, GI, L&D, etc)",Hourly Base Pay (Diff not included),Shift Diff Amount (if any) ,"Type Of Shift Diff (nights, Baylor, Critical Care, Etc) ","Type Of Shift Diff (nights, Baylor, Critical Care, Etc) ",Hospital Name/ Campus (Optional)
7/8/2020 20:29:54,Niagara Falls ,,2,ER,32.61,1.4,Nights ,,Niagara Falls memorial hospital 
7/8/2020 20:42:18,Huntington,,1,Hematology Oncology outpatient,42,,,,
7/8/2020 20:54:16,White Plains,,5,ICU stepdown,53,,,,
7/8/2020 20:55:40,New York City,,2,Neonatal ICU,53.1,3,Nights,,New York Presbyterian Weill Cornell
7/8/2020 21:15:57,NY,,1,L&D,46,,,,
7/9/2020 11:01:59,West Islip,,0,Rehab,37.08,1.22,3-11pm,,
7/8/2020 23:32:57,Nyc ,,5,Telemetry ,48,,Day ,,Mount Sinai west hospital 
7/9/2020 2:26:34,Albany,,1,Surgical ,29,4,7,,
7/9/2020 2:49:20,"Syracuse, ny",,7,Ortho,36.01,3,"Eves, nights, weekends",,St. Joseph’s 
7/9/2020 4:46:57,Rochester,,1.5,Med-surge / general medicine,28.25,1.25,Nights ,,Highland Hospital
7/9/2020 7:28:53,Utica ,,1,Family practice,25,,,,
7/9/2020 7:47:23,Manhasset. ,,3,ED,49,,,,NSUH
7/9/2020 15:52:22,Albany,,6,Rapid Response/Critical Care,33.9,,,,Albany Medical Center
7/9/2020 16:24:52,Rochester,,2,Med Surg,28.7,,,,
7/9/2020 21:01:00,,,9,,,,,,
7/9/2020 21:55:59,"Albany, NY",,4,Med/Surg,50,8,Nights,,
7/10/2020 20:13:12,New York City,,4,Dermatology/Phototherapy,53.96,,Days M-Fri,,NYU Langone Health
7/18/2020 16:44:52,NYC,,32,EP,66,,nNIGHT,,NYU LANGONE
7/23/2020 16:47:06,Albany ,,23,Operating room ,44.34,,Days salaried ,,
7/30/2020 22:51:42,Livingston manor ,,3,PACU,42.68,2,Evening ,,
7/31/2020 13:46:56,Newark,,1,Med/surg,27.9,1.5,,,Newark Wayne community Hospital
8/2/2020 21:32:35,West Islip,,1,ICU,42,4,Nights,,
8/22/2020 9:24:43,Buffalo,,12,Oncology ,40,,Days M-F,,
9/2/2020 20:38:55,,,,,,,,,
9/8/2020 11:05:44,Potsdam,,2,Med Surg,35.51,,,,
9/14/2020 18:03:16,Syracuse ,,0,Med surg ,28.8,,,,
9/14/2020 18:08:40,Batavia,,0.5,Tele/medical,26.5,,,,United Memorial Medical Center
9/14/2020 18:33:48,Peekskill,,8,OR,43.73,,,,NYP
9/14/2020 18:37:02,Bronx,,1,Allergy & Asthma Nurse,34,,Day,,
9/14/2020 18:45:42,Queens,,1.5,LPN Geriatrics,27,,Evening ,,
9/14/2020 18:49:09,Saratoga springs,,6,ICU,29.8,10,Evening,,Saratoga Hospital
9/14/2020 18:56:36,Mount Kisco,,13,Critical Care,53,2,Eves,,
9/14/2020 19:13:33,,,,,,,,,
9/14/2020 19:47:39,Nanuet,,1,Float Pool,41.75,2.5,Float,,Good Samaritan Hospital
9/14/2020 19:48:35,,,,,,,cc,,
9/14/2020 19:48:43,,,,,,,cc,,
9/14/2020 20:09:24,New hyde Park,,7,PACU,49.75,52.95,Days,,
9/14/2020 20:10:34,New hyde Park,,7,PACU,49.75,52.95,Day,,
9/14/2020 21:57:10,Rochester ,,11,Primary Care- LPN,19,,Days,,URMC
9/14/2020 21:57:26,,,,,,,,,
9/14/2020 22:10:26,Rockville centre ,,2,Telemetry,43,3,Nights,,Mercy Medical Center
9/14/2020 22:26:13,New York ,,4,Cardiology ,58,,,,New York Presbyterian 
9/14/2020 22:34:36,Saranac lake,,0,,17.97,1.25,Evening ,,
9/14/2020 22:49:15,Rochester ,,3,Med surge ,29.75,,"Day,night, evenings ",,Strong hospital 
9/14/2020 23:16:27,,,,,,,,,
9/14/2020 23:41:39,Brooklyn,,1,Float,48,5.25,"Night, float",,
9/15/2020 0:11:48,Monroe ,,2,Pediatric a ,26,,Days ,,
9/15/2020 1:23:04,New york,,4,,52,3,night,,nyp
9/15/2020 1:31:59,Batavia,,0,Med Surg,26.5,,Day,,United Memorial Medical Center
9/15/2020 2:50:00,Valhalla,,3,NICU,45.54,3.35,Nights,,WMC
9/15/2020 2:50:22,Valhalla,,3,NICU,45.54,3.35,Nights,,WMC
9/15/2020 5:02:15,,,,,,,,,
9/15/2020 6:35:18,Canandaigua,,6,Education,25,,,,FLCC
9/15/2020 7:28:44,Queens,,1.6,cardiac,45,2,Night,,Long Island Jewish Medical Center
9/15/2020 10:04:30,New York City,,2,,51,,,,
9/15/2020 10:35:04,Rochester,,0,Oncology,27.5,1.5,"Nights, weekends",,Strong
9/15/2020 10:36:01,Brooklyn ,,0,,37,,8hr day,,
9/15/2020 13:33:10,Roslyn,,8,Med-Surg,51,,Days,,
9/15/2020 13:44:34,New York City,,0,Med/surg,51,3,Nights,,
9/15/2020 16:28:54,Nassau county (Long Island),,9,Assistant manager,54,3.33,Nights,,
9/15/2020 19:38:35,Brooklyn,,,,,,,,
9/16/2020 8:02:26,New York City,,4,Pediatric Cardiac ICU,50,2.88,Night,,
9/16/2020 9:06:50,New Hyde park,,0,Med surg ,47.39,2.63,Nights ,,Long Island jewish medical center 
9/16/2020 9:07:34,,,,,,,,,
9/16/2020 9:46:37,Stony Brook,,7,,,,,,Stony Brook
9/16/2020 13:26:12,New york,,0,Oncology ,49,,Days,,Mount Sinai 
9/16/2020 13:26:28,New york,,0,Oncology ,49,,Days,,Mount Sinai 
9/16/2020 18:16:04,New York City,,0,L&D,45.6,4.78,"Nights, BSN",,Jacobi
9/16/2020 21:15:47,,,,,,,,,
9/17/2020 5:35:17,New York City ,,3,Step down,54.5,5.4,10% nights and weekends,,
9/17/2020 17:12:46,Brooklyn ,,12,Behavior health,50.25,4,Day,,Nyu
9/19/2020 0:20:02,,,,,,,,,
9/19/2020 0:20:09,,,,,,,,,
9/19/2020 9:46:22,Nyc,,4,homecare,24,,,,Whiteglove nursing agency 
9/19/2020 18:21:47,Rochester ,,3,Med surg,28.85,2,"Nights, weekend ",,URMC
10/3/2020 16:24:22,Flushing,,0,Geriatric,27,1,evening,,
10/14/2020 0:49:09,,,,,,,,,
10/14/2020 0:49:21,,,,,,,,,
10/25/2020 17:30:36,Rochester ,,8,Outpatient manager ,39,,,,Rgh
10/25/2020 17:30:45,Rochester ,,8,Outpatient manager ,39,,,,Rgh
10/25/2020 17:38:09,Stony Brook,,12,ER,42.5,,"None, I work days ",,
10/25/2020 17:47:59,"New York, NY",,1.5,OR,48,,,,Mount Sinai Morningside 
10/25/2020 17:48:18,"New York, NY",,1.5,OR,48,,,,Mount Sinai Morningside 
10/25/2020 18:00:23,NYC,,5,"Neurology, Neurosurgery, Stroke, Medical/Surgical",55,,"Days Flex, Neurosurgery Stepdown",,"CUIMC, NYP "
10/25/2020 18:10:39,Manhattan,,0,Dialysis,38,,,,Davita
10/25/2020 18:11:49,Bay shore ,,0,Telemetry ,46.65,3.2,Nights ,,South Shore University
10/25/2020 18:14:16,West Islip,,10,ICU,55,,,,Good Samaritan Hospital
10/25/2020 18:21:29,Westchester,,14,Critical Care,52,3,Mid shift,,
10/25/2020 18:22:53,New York,,1,ER,49,2,Nights,,NYULMH
10/25/2020 18:23:12,Westchester,,13,Critical Care,52,3,Mid ,,
10/25/2020 18:29:44,Albany,,9.5,Home health,36.05,,,,
10/25/2020 18:49:05,Poughkeepsie ,,1,Med Surg,36.35,2,"Night, weekends",,Midhudson  Regional 
10/25/2020 19:06:48,Rochester ,,6,Pediatric ,,0.0000001,"None- salaried at 68,000",,Strong Memorial Hospital
10/25/2020 19:14:00,Rochester ,,7,ER,36,2,Nights core charge triage ,,URMC 
10/25/2020 19:18:23,New York,,3,Dermatology,39.65,,,,Outpatient dermatology/skin surgery/laser center
10/25/2020 19:19:54,NYC ,,4,CVICU,50,3,Days,,
10/25/2020 19:20:08,,,,,,,,,
10/25/2020 19:20:16,,,,,,,,,
10/25/2020 19:23:14,New York City,,5,Oncology,54.87,,"We are salaried- $107,000 yearly. Hourly rate I calculated ",,
10/25/2020 19:29:03,New Windsor,,2,Infusion (home health) ,38,,Day,,
10/25/2020 19:51:58,Centereach ,,8,Geriatric ,42,,8hr day,,
10/25/2020 19:59:11,WestChester ,,1,Peds,41,,Days,,
10/25/2020 20:08:23,NYC,,4,Cardiac Operating Room ,50,75,Call pay,,
10/25/2020 20:22:41,,,,,,,,,
10/25/2020 20:23:42,Albany,,1,Pediatrics,25,,Days,,Albany Medical Center
10/25/2020 20:30:45,NYC,,3,ER,50,2,Nights ,,Mount Sinai
10/25/2020 20:30:50,NYC,,3,ER,50,2,Nights ,,Mount Sinai
10/25/2020 20:31:50,Nyc ,,3,ER,50,2,Nights,,Mount Sinai 
10/25/2020 20:50:26,New York,,3,Operating Room,62,2.8,Evenings 12pm-8pm,,NYU Langone Medical Center / Tisch Hospital
10/25/2020 21:07:59,New Hyde Park,,2,Telemetry,48,3,Nights ,,Northwell Health
10/25/2020 21:21:14,Yonkers,,0,Behavioral health - etoh benzo and opiate detox and rehab,43.64,,Dayshift,,St johns riverside hospital
10/25/2020 21:21:35,Brooklyn,,1,Med-surge,95589,6000,Nights,,Maimonides Medical Center 
10/25/2020 21:23:11,Staten Island,,2,Geriatrics ,26,,2nd shift 3-11,,Sunrise Senior Living
10/25/2020 21:31:38,New York City,,2,NICU,51,3,Nights,,New York Presbyterian Weill Cornell
10/25/2020 21:37:42,Brooklyn,,1,Medsurge,49.02,9.08,Nights & charge,,Maimonides medical center 
10/25/2020 21:43:44,"Canandaigua, NY",,2,ICU,27.75,,,,Ff Thompson
10/25/2020 22:02:24,New York City,,2,Surgical ICU,50,,Days,,
10/25/2020 22:10:29,New York,,4,Acute Neuro Rehab,50.6,0.96,Day shift 7a-730p,,NYU Langone Hospital
10/25/2020 22:16:21,New York City,,4,Operating Room,59,,,,
10/25/2020 22:22:52,NYC,,0,Oncology,47.66,3,Nights,,
10/25/2020 22:50:05,Roslyn,,2,Med-surg/tele,56,4,,,Saint Francis 
10/25/2020 23:35:04,New york,,20,MICU,62,,Days critical care,,
10/25/2020 23:37:30,Brooklyn ,,10,L&D,46,2,Nights,,
10/25/2020 23:55:54,Rochester,,1,Med Surg,27,1.5,Nights ,,Unity Hospital
10/26/2020 0:59:12,New York ,,4,Icu ,55,10,Nights ,,Memorial Sloan Kettering 
10/26/2020 1:27:18,,,,,,,,,
10/26/2020 1:43:59,Southern westchester,,0,ER,40,43,Mid shift,,
10/26/2020 2:16:51,Queens,,1,Critical Care,47,,Nights,,Northwell Health
10/26/2020 2:44:08,New York,,2,ER,16.2,,Nights + $0.50,,New York Central
10/26/2020 3:19:45,Brooklyn,,3,L&d,49,4,Nights,,Maimonides medical center
10/26/2020 6:38:39,,,,,,,,,
10/26/2020 6:40:14,New York City,,2,L&D,44,3,Nights,,New York Presbyterian 
10/26/2020 8:31:59,NYC ,,1,ER,50,2,Nights,,Lenox Hill
10/26/2020 8:36:08,Mineola,,8,ICU,51.5,1.79,Evenings,,NYU Winthrop Hospital
10/26/2020 8:36:28,Mineola,,8,ICU,51.5,1.79,Evenings,,NYU Winthrop Hospital
10/26/2020 9:12:49,Buffalo,,0,,34.66,,,,
10/26/2020 9:13:06,Buffalo,,0,,34.66,,,,
10/26/2020 9:32:22,Albany,,1,L&D,27,4,Nights,,Albany Medical Center
10/26/2020 9:50:41,Poughkeepsie ,,1,MedSurg/Oncology,36.8,4,Nights,,
10/26/2020 12:56:34,New York ,,0,N/A,0,1,0,,N/A
10/26/2020 12:58:03,"Warwick, Ny",,3,ICU 2years,37,,Nights ,,
10/26/2020 13:26:26,Bronx New York,,3,NICU,47.6,5,"Experience, nights, bsn",,Montefiore Wieler 
10/26/2020 13:43:04,Bronx,,4,Informatics,,,125k/yr. I am salaried. ,,NYC Health and Hospitals Corp/Central Office
10/26/2020 14:31:39,Troy ,,5,Ned surg/tele,33,3,Evening (3p-11p),,Samaritan Hospital 
10/26/2020 16:04:04,Brooklyn ,,5,NICU,51.65,290,Evening ,,New York Presbyterian Brooklyn Methodist 
10/26/2020 20:21:04,Albany NY,,11,Case Management management ,45,,,,
10/26/2020 22:53:20,,,,,,,,,
10/26/2020 22:53:29,,,,,,,,,
10/27/2020 20:12:17,New York,,1.5,Med/surg,51.65,5.17,Nights,,Memorial Sloan Kettering Cancer Center
10/27/2020 20:46:55,"Harris, NY",,2,ICU ,37,3.5,Night shift diff $3.50/hr BSN $3.00/hr,,
10/27/2020 22:33:58,Fresh Meadows,,1,Dialysis home therapy,44,,,,Fresenius
10/31/2020 13:38:34,SYRACUSE,,22,Med surg/oncology,80,88,Night,,VAMC Syracuse
10/31/2020 19:53:24,New York,,12,Etc,55,,,,
10/31/2020 21:39:05,Queens,,3,NICU,48.87,1.53,Nights,,Northwell Health
10/31/2020 22:35:00,New york ,,5,Cardiac ICU,55,3,Days,,NYP Morgan Stanley Children's Hospital
10/31/2020 23:19:02,East Northport,,5,PACU/SICU/NCCU,45,,Days,,Stony brook
11/11/2020 9:38:46,Orange County,,3,MedSurg,48,,Nights,,
11/11/2020 9:38:48,Orange County,,3,MedSurg,48,,Nights,,
11/11/2020 9:39:09,Orange County,,3,MedSurg,48,,Nights,,
11/18/2020 11:00:37,New York City ,,8,Home care,51,,Per diem 57-70$ per visit ,,
11/18/2020 11:39:24,Troy ,,1,ICU,29.67,3,Weekday after 1500,,Samaritan 
11/18/2020 11:55:13,Riverhead,,10,Homehealth,54,,,,
11/18/2020 11:55:51,Riverhead,,10,Homehealth,54,,,,
11/18/2020 12:02:10,Tarrytown,,3,Peds,26,,Dr office,,BCHP
11/18/2020 12:03:02,,,,,,,,,
11/18/2020 12:03:14,,,,,,,,,
11/18/2020 12:03:21,,,,,,,,,
11/18/2020 12:03:32,,,,,,,,,
11/18/2020 14:25:11,Stony Brook,,5,Radiology,42,,8 hr days,,Stony Brook ambulatory office
11/18/2020 14:58:37,Nyc,,2,Ed,55,4,Nights,,
11/18/2020 16:48:05,Queens,,2,Clinic internal medicine ,36,,,,
11/18/2020 19:13:44,Bronx,,5,ER,44,,Days,,St Barnabas Hospital
11/18/2020 19:53:27,"Rochester, NY",,11,ortho ,37.5,1,"cert pay, i work straight days, but we do have shift diff and PIN points for the weekend",,Highland Hospital 
11/18/2020 20:51:55,Syracuse,,13,ICU CDI Specialist,27.22,,Days M-F,,Upstate University Hospital
11/18/2020 22:40:16,NYC,,1,PICU,49,3,Nights,,New York Presbyterian Columbia campus 
11/19/2020 4:59:44,Elmira,,14,Oncology ,33.74,,Days,,
11/19/2020 6:44:01,New York City ,,0,ICU,46,5800,Nights,,Bronx-Lebanon 
11/20/2020 21:12:56,Bronx,,2,Allergy Immunology/Asthma,34,,Day,,"ENT & Allergy Associates, LLP"
11/21/2020 23:13:01,Nyc,,1,ER,49,3,Nights and bsn,,Lenox hill
11/22/2020 12:39:14,"90,000",,1,Emergency room,,,,,
11/29/2020 1:10:02,Troy,,6,LDRP,33.5,,,,Samaritan Hospital
12/2/2020 3:19:42,,,0,Cardiac Step Down,47,2.5,Nights ,,
12/2/2020 19:27:58,Long Island,,1,,42,,,,
12/2/2020 19:28:22,Long Island,,1,,42,,,,
12/3/2020 20:26:08,Brooklyn,,1,Med/Surg,47.97,3,Nights,,NYU Langone
12/3/2020 20:26:23,Brooklyn,,1,Med/Surg,47.97,3,Nights,,NYU Langone
12/3/2020 20:27:11,Brooklyn,,1,Med/Surg,47.97,3,Nights,,NYU Langone
12/8/2020 0:13:22,Brooklyn,,4,OR,49,,Daya,,Northwell
12/15/2020 17:17:33,Port Jefferson ,,2.5,Stepdown Tele,46,,"Nights, day vs evening. ",,Mather Hospital 
12/17/2020 1:21:59,NYC,,0,L&D,49,,,,
12/22/2020 20:40:59,Long Island,,12,L&D,48,,,,
12/26/2020 22:17:15,New York,,5,Psych,60,,,,
12/30/2020 20:38:06,New York City,,2,Mother/Baby,53,,Nights ,,
1/9/2021 11:27:03,Rhinebeck,,20,Med/ surg/telemetry,49.5,4,Night shift,,
1/10/2021 23:38:39,Harris ,,2,PACU ,39.86,5,"Evening, BSN",,
1/10/2021 23:41:07,Nyack,,25,MDS,45,,,,SNF
1/10/2021 23:42:40,Roslyn,,2,Med-Surg ,51,4,Nights ,,Saint Francis
1/10/2021 23:43:14,Roslyn,,2,Med-Surg ,51,4,Nights ,,Saint Francis
1/10/2021 23:44:04,New York city,,1,Picu,47,2,Nights,,
1/10/2021 23:47:53,Nyc,,4,HD & IR,44,,Days,,
1/10/2021 23:48:28,Nyc,,4,HD & IR,44,,Days,,
1/10/2021 23:55:49,New York ,,0,New grad ,55,,Day shift ,,NYC H&H Hospitals 
1/11/2021 0:05:55,Long Island,,2,Endo,43,10,CAP,,
1/11/2021 0:29:32,"Rochester, NY",,4,Pediatrics,32.05,,Days ,,University of Rochester
1/11/2021 1:02:06,New York City,,9,Home care,51,,12hours x 3 days ,,
1/11/2021 1:39:15,,,,,,,,,
1/11/2021 2:52:43,Manhattan,,2,Oncology,52,1.5,Night ,,MSKCC
1/11/2021 5:15:49,Rochester ,,2.5,SICU,32.1,1,Nights ,,Strong Memorial Hospital 
1/11/2021 5:45:23,North Creek,,7,"Care management, ltc ",33.6,1.6,Day m-f,,Opwdd 
1/11/2021 5:52:32,Middletown,,1.5,Psychiatry (per diem),45,2.5,Evening,,Garnef Health Medical Center
1/11/2021 6:34:01, New York City ,,6,Oncology/BMT,51,,,,Memorial Sloan Kettering Cancer Center 
1/11/2021 7:35:48,New York ,,2.5,Vascular Access,49,2.5,Day,,NewYork-Presbyterian
1/11/2021 8:24:50,Cortlandt Manor,,9,OR,45.9,,Day,,NYP
1/11/2021 8:42:43,,,,,,,,,
1/11/2021 8:50:17,Rome,,8,Icu,34,2.5,Critical care ,,Rome memorial hospital 
1/11/2021 9:14:35,New York City,,9,Oncology,70,,,,
1/11/2021 9:28:50,Stony brook,,3,PICU,39.25,,Days ,,Stony brook university hospital
1/11/2021 10:46:30,Rochester ,,1,Advanced heart failure / transplant ,30.34,,,,Strong Memorial Hospital 
1/11/2021 12:11:12,Levittown NY,,3,Radiology ,36.5,,Day shift ,,
1/11/2021 17:14:17,Rochester,,2,Palliative/hospice,31,4,Shift differential ranges from about $2 overnight to $4 for overnight weekends,,Strong Memorial Hospital
1/11/2021 20:11:16,Kingston,,0,Psych ,36,4,Nights ,,WMC 
1/11/2021 23:17:25,Rochester,,0,Pediatrics,24,,,,English Road Pediatrics
1/11/2021 23:17:39,Rochester,,0,Pediatrics,24,,,,English Road Pediatrics
1/17/2021 8:57:57,NYC,,8,CCU,49,,,,
1/17/2021 21:41:57,NYC,,4,IR,45,,,,
1/17/2021 21:42:18,,,,,,,,,
1/17/2021 21:42:30,,,,,,,,,
1/18/2021 12:00:06,Dansville,,,,,,,,
2/3/2021 1:21:16,Bay shore ,,2,L&d,50.23,,Nights,,Northwell 
2/3/2021 1:21:26,Bay shore ,,2,L&d,50.23,,Nights,,Northwell 
2/4/2021 20:53:16,Syracuse,,5.5,ICU,28.1,3,nights/orientor/charge/evenings,,Crouse Health
2/8/2021 21:02:37,Roslyn ,,2,Cardiac,42,4,Night telemetry ,,St Francis
2/8/2021 21:02:49,Roslyn ,,2,Cardiac,42,4,Night telemetry ,,St Francis
2/9/2021 20:02:14,Rochester ,,4,Psych,29,3,Night,,Rrh 
4/21/2021 21:59:34,Albany,,0,Cardiac-Tele,29,5,Nights,,
4/22/2021 0:54:11,Rochester,,0,ER,28.48,,,,
4/26/2021 13:05:25,New York,,0,COVID 19 Research ,43,,Mon-Friday 9 to 5,,
4/26/2021 15:05:49,Patchogue,,2,Med/Surg,42,,,,Southampton
4/30/2021 13:23:26,Rochester,,32,Pediatric ,43.14,,Day-school nurse,,
5/23/2021 20:43:37,Buffalo,,0,Med surg,32,3,nights,,
7/16/2021 16:14:09,New York City,,0,Med Surg,47,3,Night,,
7/17/2021 4:22:18,NYC,,5,Neurosurgical ICU,51,4,Nights,,Mount Sinai Hospital
9/5/2021 18:24:18,Bayshore,,0,Medsurge,47,,Nights,,
9/17/2021 2:26:51,Stony Brook,,0,Cardiac,37,0.01,Night,,Stony Brook University Hospital
10/7/2021 23:27:13,New Hyde Park ,,2,Telemetry,49,,,,Northwell LIJMC 
1/14/2022 8:28:34,New York,,10,Research,68,,Day,,
1/16/2022 1:20:35,New York,,5,Primary Care,45,,Day,,
1/20/2022 16:56:01,Elmira,,1,L&D,34.24,4.62,Nights,,Arnot Health
1/20/2022 17:41:52,Buffalo,,14,L&D,45.6,2.63,Nights,,
1/21/2022 13:55:39,Rochester,,10,Primary care,37.5,,Days ,,Rochester VA
1/21/2022 18:34:39,Albany,,,NICU,43.62,10.9,Weekend Days,,Albany Medical Center
1/26/2022 13:29:54,NYC ,,6,BMT/Oncology,56,,"$1.80 more for any cert, $3 more for charge RN. NYP-weill cornell",,New york Presbyterian
2/3/2022 21:59:04,Rochester ,,1.5,Med-Surg ,32.4,1,nights ,,Highland Hospital 
2/4/2022 1:57:18,Stony brook,,0,,0,,,,Molloy
2/20/2022 10:10:48,stony brook,,0,student,0,,,,none
3/7/2022 12:08:27,New Hyde park ,,0,L&D,48.37,,Nights ,,
3/18/2022 13:13:48,"New York, NY",,1,,40,,,,
3/18/2022 13:19:59,Brooklyn,,0,OR & PACU,55,,Days,,
3/18/2022 13:36:03,Saratoga Springs,,2,ICCU,27.6,,,,Saratoga Hospital
3/18/2022 13:36:14,Saratoga Springs,,2,ICCU,27.6,,,,Saratoga Hospital
3/18/2022 13:55:17,New york,,2,,51.72,,Days outpatient,,Mount sinai union square
3/18/2022 13:54:49,New York City,,3,SICU,53,3,Night,,NYP Columbia 
3/18/2022 14:49:27,Oneonta,,7,,36.72,2.4,Evenings ,,
3/18/2022 15:19:44,,,20,,65,,,,
3/18/2022 16:03:13,Long Island ,,12,Cardiac,54.31,2,Evening ,,Northwell
3/18/2022 16:16:25,Rochester ,,15,"OB, nurse education ",45,,"D/E, leadership position ",,University of Rochester
3/18/2022 16:18:40,,,,,,,,,
3/18/2022 16:53:12,Rochester ,,0,NICU,30.38,1,Nights ,,URMC
3/18/2022 17:04:10,NY,,0,LPN ,40,,Day shift,,Covid Quick clinic 
3/18/2022 17:20:23,Saratoga Springs,,3,Med/Surg/Ortho,31.08,5.72,Nights,,
3/18/2022 18:32:44,New York,,3,Allergy & Asthma,42,,Day,,Private clinic
3/18/2022 19:25:39,Nyc,,4,MED SURG/ tele/ PACU,55.34,5.54,Nights,,Memorial Sloan Kettering 
3/18/2022 21:46:10,Long Island,,13,Breast care navigator,65,3,Nights,,
3/18/2022 22:09:01,White plains,,5,ASU,53,,"Day mon - fri, occasional Saturday ",,
3/18/2022 22:51:41,Long island,,15,,50,4,Day,,Northwell
3/19/2022 2:08:00,Rochester,,1,Postpartum ,32.96,2,Nights,,Highland Hospital
3/19/2022 2:08:13,Rochester,,1,Postpartum ,32.96,2,Nights,,Highland Hospital
3/19/2022 2:12:38,Albany,,1,L&D,34.6,4,Nights ,,Albany Medical Center 
3/19/2022 7:39:31,Stony brook,,9,Pacu,48,133,Evening,,Stony Brook medicine
3/19/2022 14:13:42,Buffalo ,,1,Med surg ,32,3,Night ,,ECMC
3/19/2022 14:41:06,Rochester NY,,0,Med/surg,31,4,"New grad starting rate, night differential ",,URMC
3/19/2022 18:49:07,New York City,,4,ICU,49.8,3.5,Unsure about nights,,NYP/Columbia
3/19/2022 19:13:09,Montgomery ,,7,Infusion,57.45,4,Nights,,
3/19/2022 20:04:36,Brooklyn,,5,Telemtry,53,5,Nights ,,NYU Langone Hospital
3/19/2022 20:06:01,Brooklyn,,9,Telemetry ,52,5,Nights,,NYU Langone
3/19/2022 20:07:00,"Brookyn, NY",,9,Telemetry ,52,5,Nights,,NYU Langone Brooklyn 
3/19/2022 20:09:20,"Brooklyn, NY",,9,Telemetry ,52,5,Nights,,NYU Langone
3/19/2022 20:12:46,Brooklyn,,9,Telemetry ,52,5,Nights,,NYU Langone 
3/19/2022 20:16:30,Brooklyn,,9,Telemetry ,52,5,Nights,,NYU Langone
3/19/2022 23:09:08,,,7,Progressive care,34,,,,
3/19/2022 23:12:55,,,7,Progressive care,34,,,,
3/19/2022 23:38:47,Syracuse,,4,Home care ,45,,Weekdays ,,
3/20/2022 2:02:38,Bronx,,2,L&D,49,,Days,,Bronx care
3/20/2022 2:05:29,,,,,,,,,
3/20/2022 13:39:58,Middletown,,0,Cardiac,46.8,,,,Garnet Health
3/20/2022 16:08:15,Buffalo,,3,,34,,,,
3/20/2022 21:02:52,Port jefferson,,4,Med surg,49,1,Nights,,Mather hospital 
3/23/2022 7:38:11,Buffalo ,,5,,40,1.5,Weekend ,,Roswell park
3/23/2022 11:30:46,Rochester,,9,ICU,35.87,,,,Strong Memorial Hospital
3/23/2022 11:31:05,Rochester,,9,ICU,35.87,,,,Strong Memorial Hospital
3/26/2022 20:08:32,New york,,2,,55,58,,,Nyu
3/26/2022 20:13:37,New York city,,8,Postpartum,52,,Day shift,,NYP
3/26/2022 20:55:35,Babylon,,9,Infusion ,56,7,9-7:30,,Optum Home infusion
3/26/2022 21:13:03,Oneonta ,,5,,39.75,2,Nights and weekends,,
3/26/2022 21:27:11,Middletown,,2,Cardiac,45.64,,,,Garnet health medical center 
3/26/2022 21:27:55,Buffalo,,1,Med Surg,33.6,3,Night shift,,Catholic Health
3/26/2022 21:28:53,Buffalo,,1.5,L&D,34.6,3,Nights,,
3/26/2022 21:33:24,Binghamton ,,6,ICU ,45,,Days,,
3/26/2022 21:43:56,Elmira,,3,Wound Care,33.25,,,,Arnot
3/26/2022 22:15:04,Rochester,,5,GI,35.01,,,,URMC
3/26/2022 22:15:37,Rochester,,5,GI,35.01,,,,URMC
3/26/2022 22:59:26,Rochester ,,7,Home care,33.58,,Mon-Fri days,,
3/26/2022 23:29:13,"Mineola, NY",,5,Outpatient Urology Office,53,,Days monday to friday ,,NYU Langone - Long Island
3/27/2022 0:32:24,New York,,9,Telemetry,52,4,Nights,,NYU Langone Brooklyn
3/27/2022 7:58:46,Syracuse,,1,OB,32.65,3,"BSN, LPN of 3 years prior working in outpatient setting",,St Joe’s
3/27/2022 10:39:45,New York City ,,6,CTICU,56,3,"Nights, preceptor, charge ",,New York Presbyterian
3/27/2022 12:12:58,New York ,,4,CTICU,56,5,Nights,,NYU Langone
3/27/2022 18:28:11,Queens ,,1,,90,7,Day,,
3/27/2022 18:41:47,Mineola ,,3,Oncology ,52,,Day,,
3/28/2022 9:43:59,Brooklyn ,,5,L&D,69.13,,Per diem,,
3/28/2022 9:50:11,Brooklyn ,,5,L&D,69.13,,Per diem,,
3/28/2022 16:18:58,,,0,Med/Surg,34.67,3.75,Nights,,
3/30/2022 18:11:24,Riverhead,,8,Hospice ,59,,Unknown about shift diff,,Home Health Hospice
4/7/2022 19:49:11,New York City,,2,School Nurse,60,,,,
4/8/2022 21:41:53,White Plains,,6,Cardiac,49,5,"Bachelors, experience, clinical ladder",,White Plains Hospital
4/8/2022 21:44:48,Mineola ,,18,PICU,62,,Day shift across the hospital for per diem ,,NYU Long Island 
4/9/2022 2:39:51,New York,,12,"Nicu, pediatric care management ",126,,Day ,,NYP
4/9/2022 2:40:41,Staten Island ,,5,ICU,50,,,,
4/9/2022 5:56:21,Rochester ,,6,NICU,36,4.75,Night shift ,,Strong Memorial Hospital 
4/9/2022 7:24:55,Carmel ,,1,Medsurg,38.25,5,Nights,,
4/9/2022 8:53:22,Ithaca ,,10,L&D,38,,"Nights, weekends, critical care",,Cayuga Medical Center
4/9/2022 10:01:09,Syracuse,,5,PACU,31,,Days,,upstate 
